,title,link,description,pubDate,realDate
20,"Jun Ji-hyun, Gang Dong-won to star in Disney+ series 'Tempest'",https://m.entertain.naver.com/article/640/0000054453,"Disney+ original series “Tempest” is set to be released in 2025 with a star-studded lineup, including actor Jun Ji-hyun and Gang Dong-won, Walt Disney Company Korea said Wednesday. Spy... ",2024-05,2024-05-29
21,"Disney, Hulu and Max Streaming Bundle Will Soon Become Available",https://www.nytimes.com/2024/05/08/business/media/disney-plus-max-streaming-bundle.html?partner=naver,The offering from Disney and Warner Bros. Discovery shows how rival companies are willing to... Disney and Warner Bros. Discovery announced on Wednesday that they would start offering a bundle of... ,2024-05,2024-05-09
22,Song Kang-ho's 'Uncle Samsik' to fill hearts and stomachs on Disney+ from...,https://m.entertain.naver.com/article/640/0000053578,This context is well understood after watching Disney+’s upcoming period drama original series... “Uncle Samsik” premieres with its first five episodes on May 15 on Disney+.,2024-05,2024-05-08
23,Disney+'s 'Uncle Samsik' explores how S. Korea was shaped: producer,https://n.news.naver.com/mnews/article/044/0000257104?sid=104,"(2023), Disney+ original &quot;Uncle Samsik&quot; will aim to explore how Korea came to be what it is by... Five episodes of &quot;Uncle Samsik&quot; will be released on Disney+ every Wednesday starting May 15.",2024-05,2024-05-08
24,"Kroger, Disney+ Considering Partnership to Add Streaming Service to Groce...",https://www.econotimes.com/Kroger-Disney-Considering-Partnership-to-Add-Streaming-Service-to-Grocery-Delivery-Program-1676845,"and Disney Plus are reportedly in talks for a streaming partnership. If the negotiations end in... If the partnership goes through, Kroger will offer Disney Plus service to its customers for... ",2024-05,2024-05-02
25,Disney Reports Strong Earnings but Warns of Bumps Ahead,https://www.nytimes.com/2024/05/07/business/media/disney-quarterly-earnings.html?partner=naver,"In a surprise, Disney+ made money for the first time in the latest quarter, but the company said it expected a slowdown in its parks division. Disney reported strong earnings on Tuesday, driven... ",2024-05,2024-05-07
26,Disney+ 'Uncle Samsik' aims to provoke thought with ambitious characters ...,https://n.news.naver.com/mnews/article/001/0014675050?sid=104,"Disney-Korean original series Disney+ 'Uncle Samsik' aims to provoke thought with ambitious characters in turbulent times By Woo Jae-yeon SEOUL, May 8 (Yonhap) -- Disney+ Korean original series... ",2024-05,2024-05-08
27,Activist Investor Nelson Peltz Is Said to Sell His Disney Stake,https://www.nytimes.com/2024/05/29/business/nelson-peltz-disney-shares.html?partner=naver,"of Disney’s management, Mr. Peltz lost an expensive battle for a place on the company’s board. Nearly two months after losing an epic corporate battle to get on the board of the Walt Disney... ",2024-05,2024-05-30
28,"Disney+ series 'Tempest,' starring Jun Ji-hyun, Gang Dong-won, set to deb...",https://n.news.naver.com/mnews/article/001/0014714918?sid=104,"Disney-Korean original Disney+ series 'Tempest,' starring Jun Ji-hyun, Gang Dong-won, set to debut next year SEOUL, May 29 (Yonhap) -- Disney+ said Wednesday it will unveil a new star-studded... ",2024-05,2024-05-29
29,Disney+ and Netflix win big as Baeksang Arts Awards celebrates 60th editi...,https://m.entertain.naver.com/article/640/0000053571,"It was a glorious night for grave diggers, military usurpers and webtoon-based dramas on Disney... Netflix also won big in the television category as it came face to face with Disney+, perhaps... ",2024-05,2024-05-08
30,"Disney and DeSantis Reach Agreement, Ending Protracted Fight",https://www.nytimes.com/2024/06/12/business/disney-desantis-agreement.html?partner=naver,The deal locks in a 15-year expansion plan for Disney World and clears a path for Disney to restart in-kind political donations in Florida. Disney and Gov. Ron DeSantis of Florida have finally... ,2024-06,2024-06-13
31,Black Disney Princess Ride Replaces Splash Mountain and Its Racist Histor...,https://www.nytimes.com/2024/06/11/business/disney-world-splash-mountain-princess-tiana.html?partner=naver,"Disney overhauled it to focus on Tiana, Disney’s first Black princess, drawing praise and backlash. In the summer of 2020, as a reckoning on racial justice swept the country, Disney said it... ",2024-06,2024-06-12
32,"SpaceX Valuation Hits $210B, Surpassing Disney and McDonald's Combined",https://www.econotimes.com/SpaceX-Valuation-Hits-210B-Surpassing-Disney-and-McDonalds-Combined-1680546,"This unprecedented valuation surpasses household names like Disney and McDonald's, highlighting... SpaceX's value exceeds that of household names like Disney and McDonald's, valued at $186... ",2024-06,2024-06-30
33,Did You Buy a Disneyland ‘Dream Key’? Disney May Owe You Money.,https://www.nytimes.com/2024/06/15/business/disney-dream-key-pass-lawsuit.html?partner=naver,"Disney owes a total of $9.5 million to customers who bought a $1,400 Dream Key pass over the... 5 million settlement of a class-action lawsuit that accused Disney of misleading customers into... ",2024-06,2024-06-15
34,Will Naver Webtoon become 'Asia's Disney' via Nasdaq listing?,https://www.koreatimes.co.kr/www/tech/2024/06/419_377575.html?na,"Last year, Kim told reporters in Silicon Valley that his company aims to become “Asia's Disney,” helping creators introduce their IPs globally. “Anyone with a story to tell can publish on... ",2024-06,2024-06-27
